idRule,V,L,U,Side
36,NOx_GT,0,412,X
36,PT08_S2_NMHC,0,220,Y
36,PT08_S3_NOx,0,196,Y
36,PT08_S4_NO2,0,578,Y
37,PT08_S3_NOx,0,196,X
37,NMHC_GT,256,428,Y
38,NOx_GT,0,412,X
38,PT08_S4_NO2,1024,1602,X
38,CO_GT,0,31,Y
38,PT08_S3_NOx,0,196,Y
39,C6H6_GT,0,150,X
39,PT08_S3_NOx,0,196,X
39,PT08_S2_NMHC,0,220,Y
40,C6H6_GT,0,150,X
40,NO2_GT,256,282,Y
41,C6H6_GT,256,406,X
41,PT08_S4_NO2,0,578,Y
42,NMHC_GT,256,428,X
42,PT08_S4_NO2,0,578,X
42,PT08_S2_NMHC,0,220,Y
43,NOx_GT,0,412,X
43,NO2_GT,0,26,X
43,CO_GT,0,31,Y
44,NMHC_GT,0,172,X
44,PT08_S1_CO,1024,1040,Y
45,C6H6_GT,0,150,X
45,PT08_S3_NOx,1024,1220,X
45,PT08_S2_NMHC,0,220,Y
46,CO_GT,0,31,X
46,NO2_GT,256,282,Y
47,NMHC_GT,256,428,X
47,NOx_GT,0,412,X
47,PT08_S3_NOx,1024,1220,Y
48,PT08_S1_CO,0,16,X
48,NMHC_GT,256,428,Y
49,NO2_GT,0,26,X
49,PT08_S4_NO2,1024,1602,X
49,C6H6_GT,0,150,Y
50,PT08_S3_NOx,1024,1220,X
50,PT08_S4_NO2,1024,1602,X
50,NO2_GT,256,282,Y
51,CO_GT,0,31,X
51,C6H6_GT,0,150,X
51,PT08_S2_NMHC,0,220,Y
52,NO2_GT,0,26,X
52,CO_GT,0,31,Y
52,NMHC_GT,256,428,Y
53,PT08_S1_CO,0,16,X
53,PT08_S2_NMHC,0,220,Y
53,PT08_S3_NOx,0,196,Y
54,C6H6_GT,0,150,X
54,NO2_GT,0,26,X
54,PT08_S2_NMHC,0,220,Y
55,CO_GT,0,31,X
55,PT08_S4_NO2,1024,1602,X
55,NO2_GT,0,26,Y
56,NOx_GT,0,412,X
56,NMHC_GT,256,428,Y
56,C6H6_GT,0,150,Y
57,PT08_S1_CO,1024,1040,X
57,PT08_S3_NOx,1024,1220,Y
57,NO2_GT,256,282,Y
58,NOx_GT,0,412,X
58,PT08_S4_NO2,1024,1602,X
58,CO_GT,64,95,Y
58,PT08_S3_NOx,0,196,Y
59,NMHC_GT,0,172,X
59,PT08_S4_NO2,1024,1602,X
59,CO_GT,64,95,Y
59,C6H6_GT,256,406,Y
59,PT08_S3_NOx,0,196,Y
60,NOx_GT,512,924,X
60,NMHC_GT,256,428,Y
61,PT08_S2_NMHC,0,220,X
61,NO2_GT,0,26,Y
62,NOx_GT,0,412,X
62,PT08_S3_NOx,1024,1220,Y
62,PT08_S4_NO2,0,578,Y
63,CO_GT,64,95,X
63,PT08_S1_CO,0,16,X
63,NO2_GT,256,282,X
63,PT08_S3_NOx,0,196,Y
64,PT08_S3_NOx,0,196,X
64,PT08_S4_NO2,1024,1602,X
64,C6H6_GT,256,406,Y
64,NOx_GT,0,412,Y
65,PT08_S4_NO2,1024,1602,X
65,C6H6_GT,0,150,Y
66,C6H6_GT,0,150,X
66,NMHC_GT,256,428,Y
66,NO2_GT,0,26,Y
67,PT08_S2_NMHC,1024,1244,X
67,NMHC_GT,0,172,Y
67,NO2_GT,0,26,Y
68,CO_GT,64,95,X
68,NO2_GT,256,282,Y
69,PT08_S2_NMHC,0,220,X
69,PT08_S4_NO2,1024,1602,X
69,CO_GT,64,95,Y
69,PT08_S3_NOx,0,196,Y
70,C6H6_GT,0,150,X
70,PT08_S3_NOx,1024,1220,X
70,PT08_S4_NO2,1024,1602,X
70,NOx_GT,512,924,Y
71,CO_GT,64,95,X
71,NOx_GT,512,924,X
71,NO2_GT,0,26,Y
72,PT08_S3_NOx,1024,1220,X
72,PT08_S4_NO2,1024,1602,X
72,C6H6_GT,256,406,Y
73,PT08_S3_NOx,0,196,X
73,CO_GT,0,31,Y
74,NOx_GT,0,412,X
74,NO2_GT,0,26,Y
75,NOx_GT,0,412,X
75,PT08_S4_NO2,1024,1602,X
75,PT08_S3_NOx,0,196,Y
76,PT08_S3_NOx,1024,1220,X
76,PT08_S4_NO2,1024,1602,X
76,NMHC_GT,256,428,Y
77,CO_GT,64,95,X
77,PT08_S4_NO2,0,578,Y
78,PT08_S2_NMHC,0,220,X
78,PT08_S3_NOx,1024,1220,Y
78,PT08_S4_NO2,0,578,Y
79,NOx_GT,512,924,X
79,C6H6_GT,256,406,Y
80,PT08_S1_CO,1024,1040,X
80,PT08_S4_NO2,1024,1602,X
80,CO_GT,64,95,Y
80,C6H6_GT,256,406,Y
80,PT08_S3_NOx,0,196,Y
81,CO_GT,64,95,X
81,NOx_GT,512,924,X
81,C6H6_GT,0,150,Y
82,PT08_S3_NOx,0,196,X
82,PT08_S4_NO2,0,578,X
82,PT08_S2_NMHC,0,220,Y
83,PT08_S2_NMHC,1024,1244,X
83,CO_GT,0,31,Y
83,NMHC_GT,256,428,Y
84,PT08_S4_NO2,1024,1602,X
84,CO_GT,64,95,Y
84,PT08_S1_CO,0,528,Y
84,NMHC_GT,256,428,Y
85,PT08_S3_NOx,0,196,X
85,PT08_S4_NO2,0,578,Y
86,CO_GT,64,95,X
86,PT08_S4_NO2,1024,1602,X
86,PT08_S3_NOx,0,196,Y
86,NO2_GT,0,26,Y
87,PT08_S1_CO,0,16,X
87,PT08_S2_NMHC,0,220,Y
88,NMHC_GT,0,172,X
88,NOx_GT,512,924,X
88,CO_GT,0,31,Y
89,CO_GT,0,31,X
89,PT08_S4_NO2,1024,1602,X
89,NMHC_GT,256,428,Y
90,NMHC_GT,256,428,X
90,PT08_S4_NO2,1024,1602,X
90,PT08_S2_NMHC,0,220,Y
91,NOx_GT,512,924,X
91,PT08_S2_NMHC,1024,1244,Y
92,NO2_GT,0,26,X
92,PT08_S4_NO2,1024,1602,X
92,PT08_S3_NOx,1024,1220,Y
93,NO2_GT,0,26,X
93,NMHC_GT,256,428,Y
93,PT08_S3_NOx,1024,1220,Y
94,PT08_S2_NMHC,1024,1244,X
94,PT08_S1_CO,0,16,Y
94,NMHC_GT,0,172,Y
95,C6H6_GT,256,406,X
95,CO_GT,0,31,Y
95,PT08_S2_NMHC,0,220,Y
95,PT08_S4_NO2,1024,1602,Y
96,C6H6_GT,256,406,X
96,NO2_GT,256,282,Y
96,PT08_S4_NO2,1024,1602,Y
97,NMHC_GT,0,172,X
97,CO_GT,0,31,Y
97,PT08_S2_NMHC,0,220,Y
98,CO_GT,0,31,X
98,PT08_S4_NO2,1024,1602,X
98,NOx_GT,0,412,Y
99,NOx_GT,512,924,X
99,CO_GT,0,31,Y
100,CO_GT,0,31,X
100,NO2_GT,0,26,Y
101,PT08_S3_NOx,1024,1220,X
101,PT08_S4_NO2,1024,1602,X
101,PT08_S1_CO,1024,1040,Y
102,PT08_S1_CO,1024,1040,X
102,NO2_GT,256,282,Y
103,NMHC_GT,0,172,X
103,PT08_S4_NO2,1024,1602,X
103,C6H6_GT,0,150,Y
103,NOx_GT,0,412,Y
104,PT08_S2_NMHC,0,220,X
104,CO_GT,0,31,Y
104,NMHC_GT,256,428,Y
105,PT08_S4_NO2,0,578,X
105,CO_GT,0,31,Y
105,NMHC_GT,256,428,Y
106,PT08_S1_CO,1024,1040,X
106,PT08_S4_NO2,1024,1602,X
106,NOx_GT,0,412,Y
107,NOx_GT,0,412,X
107,PT08_S4_NO2,1024,1602,X
107,C6H6_GT,0,150,Y
108,PT08_S2_NMHC,0,220,X
108,CO_GT,0,31,Y
108,PT08_S4_NO2,0,578,Y
109,PT08_S4_NO2,1024,1602,X
109,CO_GT,64,95,Y
110,CO_GT,0,31,X
110,NMHC_GT,256,428,X
110,NOx_GT,0,412,Y
111,C6H6_GT,256,406,X
111,CO_GT,64,95,Y
111,PT08_S1_CO,1024,1040,Y
112,PT08_S2_NMHC,0,220,X
112,NMHC_GT,0,172,Y
113,CO_GT,64,95,X
113,NOx_GT,512,924,X
113,PT08_S3_NOx,1024,1220,Y
114,CO_GT,64,95,X
114,PT08_S2_NMHC,0,220,Y
115,PT08_S1_CO,0,528,X
115,PT08_S3_NOx,1024,1220,X
115,CO_GT,64,95,Y
115,NMHC_GT,256,428,Y
116,PT08_S4_NO2,0,578,X
116,NMHC_GT,256,428,Y
116,C6H6_GT,0,150,Y
116,PT08_S3_NOx,1024,1220,Y
117,PT08_S3_NOx,1024,1220,X
117,PT08_S4_NO2,1024,1602,X
117,CO_GT,0,31,Y
118,NOx_GT,512,924,X
118,PT08_S2_NMHC,0,220,Y
119,PT08_S1_CO,0,16,X
119,NMHC_GT,0,172,X
119,NOx_GT,512,924,X
119,C6H6_GT,0,150,Y
120,PT08_S3_NOx,1024,1220,X
120,CO_GT,0,31,Y
120,PT08_S1_CO,1024,1040,Y
120,C6H6_GT,0,150,Y
120,NOx_GT,0,412,Y
121,PT08_S2_NMHC,1024,1244,X
121,PT08_S1_CO,1024,1040,Y
121,PT08_S3_NOx,0,196,Y
122,NMHC_GT,0,172,X
122,PT08_S4_NO2,0,578,Y
123,PT08_S1_CO,0,16,X
123,PT08_S2_NMHC,0,732,Y
123,NO2_GT,0,26,Y
124,CO_GT,0,31,X
124,PT08_S2_NMHC,0,220,X
124,C6H6_GT,256,406,Y
125,PT08_S3_NOx,1024,1220,X
125,CO_GT,0,31,Y
125,NMHC_GT,256,428,Y
125,C6H6_GT,256,406,Y
126,PT08_S3_NOx,0,196,X
126,CO_GT,64,95,Y
126,PT08_S1_CO,1024,1040,Y
127,PT08_S2_NMHC,0,220,X
127,PT08_S4_NO2,1024,1602,X
127,PT08_S1_CO,0,528,Y
127,C6H6_GT,256,406,Y
127,PT08_S3_NOx,0,196,Y
128,C6H6_GT,0,150,X
128,CO_GT,64,95,Y
128,NMHC_GT,256,428,Y
129,NO2_GT,0,154,X
129,PT08_S1_CO,1024,1040,Y
130,PT08_S2_NMHC,1024,1244,X
130,CO_GT,64,95,Y
130,PT08_S1_CO,1024,1040,Y
131,C6H6_GT,256,406,X
131,PT08_S4_NO2,1024,1602,X
131,PT08_S3_NOx,0,196,Y
132,PT08_S2_NMHC,1024,1244,X
132,CO_GT,0,31,Y
132,PT08_S1_CO,1024,1040,Y
133,PT08_S2_NMHC,0,220,X
133,NOx_GT,0,412,X
133,PT08_S4_NO2,1024,1602,X
133,CO_GT,0,31,Y
133,PT08_S3_NOx,0,708,Y
134,CO_GT,0,31,X
134,PT08_S1_CO,1024,1040,Y
135,CO_GT,0,31,X
135,PT08_S1_CO,0,16,X
135,NMHC_GT,0,172,X
135,PT08_S3_NOx,1024,1220,Y
136,C6H6_GT,256,406,X
136,PT08_S2_NMHC,0,732,Y
136,NO2_GT,0,26,Y
137,NOx_GT,0,412,X
137,PT08_S4_NO2,0,578,X
137,PT08_S2_NMHC,0,220,Y
138,CO_GT,64,95,X
138,NOx_GT,0,412,Y
139,NMHC_GT,0,172,X
139,PT08_S4_NO2,1024,1602,X
139,C6H6_GT,256,406,Y
139,NOx_GT,0,412,Y
140,C6H6_GT,0,150,X
140,NOx_GT,0,412,X
140,NO2_GT,128,282,X
140,PT08_S4_NO2,0,578,X
140,CO_GT,0,31,Y
141,NO2_GT,256,282,X
141,PT08_S4_NO2,1024,1602,Y
142,CO_GT,0,31,X
142,NOx_GT,0,412,Y
143,NO2_GT,0,26,X
143,CO_GT,64,95,Y
143,NMHC_GT,256,428,Y
144,PT08_S2_NMHC,0,220,X
144,NOx_GT,0,412,Y
145,PT08_S2_NMHC,0,220,X
145,PT08_S3_NOx,1024,1220,X
145,NOx_GT,0,412,Y
145,NO2_GT,0,154,Y
146,NOx_GT,512,924,X
146,PT08_S3_NOx,1024,1220,Y
147,PT08_S1_CO,0,16,X
147,NO2_GT,256,282,Y
148,NMHC_GT,0,172,X
148,PT08_S4_NO2,1024,1602,X
148,C6H6_GT,0,150,Y
149,NMHC_GT,256,428,X
149,PT08_S4_NO2,1024,1602,X
149,NOx_GT,0,412,Y
150,CO_GT,0,31,X
150,NMHC_GT,256,428,Y
150,C6H6_GT,0,150,Y
151,PT08_S2_NMHC,0,220,X
151,NOx_GT,0,412,X
151,PT08_S3_NOx,1024,1220,Y
152,NMHC_GT,0,172,X
152,NOx_GT,0,412,X
152,C6H6_GT,0,150,Y
153,PT08_S1_CO,0,16,X
153,CO_GT,0,31,Y
153,PT08_S4_NO2,0,578,Y
154,PT08_S4_NO2,0,578,X
154,NMHC_GT,256,428,Y
154,C6H6_GT,0,150,Y
155,PT08_S1_CO,1024,1040,X
155,PT08_S4_NO2,1024,1602,X
155,C6H6_GT,0,150,Y
156,NMHC_GT,0,172,X
156,CO_GT,0,31,Y
156,PT08_S1_CO,0,16,Y
156,C6H6_GT,0,150,Y
156,PT08_S2_NMHC,0,732,Y
157,PT08_S2_NMHC,0,220,X
157,PT08_S3_NOx,0,196,X
157,NOx_GT,0,412,Y
